GforgeID, FileName, FileSize, FileSize, AddDate, AddedBy, Description
29453, 29543-harmonizd_roles_2.png, 88152, image/x-png, 09/27/2010 16:45:01, bkatz, screenshot on buildlife 4782
29509, caaers.log, 341532, text/plain, 08/27/2010 20:42:02, longyi, 
29521, defect_screenshots.zip, 112505, application/x-zip-compressed, 08/27/2010 18:48:37, bkatz, screenshots of caAERS and C3PR after logging in
29523, zero_in_create_research_staff.png, 49540, image/x-png, 08/27/2010 19:20:16, bkatz, screenshot of defect.
29525, caAERS_inv_search.png, 25277, image/png, 08/29/2010 21:44:17, bkatz, screenshot of caAERS investigator search 
29526, search_on_inv_without_any_data_entered.txt, 374401, text/plain, 08/29/2010 21:46:55, bkatz, log file from search without any data entered.
29532, c3pr-research-staff-search-fields.JPG, 77197, image/pjpeg, 08/30/2010 17:16:40, youngs, c3pr-research-staff-search-fields
29544, slow_auto_completer.png, 50854, image/x-png, 08/31/2010 15:59:48, bkatz, screenshot of data entry field in question
29558, resend_the_message.png, 11073, image/x-png, 09/01/2010 13:55:38, bkatz, screenshot of error message without specific error
29573, caaers-research-staff-update-wokaround.rtf, 3666557, application/msword, 09/16/2010 21:34:05, youngs, caaers-research-staff-update-workaround.
29582, radio_not_checkbox.png, 76429, image/x-png, 09/02/2010 13:38:59, bkatz, Convention is to use radio rather than checkbox
29641, screenshots.zip, 32520, application/x-zip-compressed, 09/10/2010 16:08:49, bkatz, screenshot of successful and failed search
29644, CCTS-v2.2rc3_1-error_thrown_when_search_research_staff_while_adding_research_staff.zip, 714377, application/x-zip-compressed, 09/10/2010 16:53:08, bkatz, summary of screenshots and logs related to the defect
29660, Labviewer_2.01.2011.doc, 330240, application/msword, 02/01/2011 15:46:09, mehrig, 
29669, cancel_should_be_ok.png, 4752, image/x-png, 09/16/2010 16:10:06, bkatz, 
29669, broadcast03.JPG, 66762, image/pjpeg, 01/03/2011 20:15:15, youngs, Broadcast_button_label.JPG
29670, c3pr-notification-defect.zip, 180350, application/x-zip-compressed, 09/16/2010 16:32:02, youngs, Missing title information for notifications
29694, new_temp_error_thrown.zip, 94076, application/x-zip-compressed, 09/17/2010 19:48:32, bkatz, screenshots
29751, c3pr-manage-reg-search-last-name_01.JPG, 36737, image/pjpeg, 09/22/2010 19:01:31, youngs, c3pr-manage-reg-search-mult-last names
29751, c3pr-manage-reg-search-last-name_02.JPG, 34890, image/pjpeg, 09/22/2010 19:03:01, youngs, c3pr-manage-reg-search-last-name_02.JPG
29751, c3pr-manage-reg-search-last-name_03.JPG, 31516, image/pjpeg, 09/22/2010 19:05:40, youngs, c3pr-manage-reg-search-last-name_03
29751, c3pr-manage-reg-search-last-name_DB-results.04.JPG, 20614, image/pjpeg, 09/22/2010 19:30:18, youngs, c3pr-manage-reg-search-last-name_participan-table-result
29754, snapshot.doc, 230912, application/octet-stream, 09/23/2010 12:47:44, thulasiramank, 
29788, logs.zip, 3611720, application/x-zip-compressed, 09/28/2010 14:50:00, bkatz, all logs on system - including servicemix
29789, defect_c3pr.zip, 73939, application/x-zip-compressed, 09/28/2010 14:59:17, bkatz, screenshots of problem
30195, cacerts_vs_webSSOKeystore_in_psc.zip, 208610, application/x-zip-compressed, 06/28/2011 20:15:41, bkatz, screenshots and text
30311, PSC_Apps_InternalSvrErr_12.10.10.doc, 189952, application/octet-stream, 12/13/2010 15:30:23, mehrig, ScreenShot_Err
30311, internal_error_psc_new_template_log.txt, 141710, text/plain, 12/13/2010 19:53:27, bkatz, 
30311, PSC_new_template_defect.zip, 48423, application/x-zip-compressed, 12/17/2010 18:18:17, bkatz, pics of issue
30315, PSC_Apps_MissingAddPeriod_12.10.10.doc, 213504, application/msword, 12/13/2010 17:21:08, mehrig, Missing AddPerid_screenshots
30316, PSC_Apps_AbnormalScreen_12.10.10.doc, 349696, application/msword, 12/13/2010 17:26:10, mehrig, Abnormal pages_Screen shots
30316, PSC_FrameWork_4.11.2011.doc, 146432, application/msword, 04/11/2011 19:27:20, mehrig, 
30316, min_resolution.png, 6432, image/png, 05/24/2011 19:18:52, bkatz, screenshot of documentation
30317, PSC_Apps_Missing_UserInfo_12.10.10.doc, 115712, application/msword, 12/13/2010 17:15:08, mehrig, Missing UsrInfo_Screenshot
30319, Incompatible_software_12.10.10.doc, 57344, application/octet-stream, 12/13/2010 17:34:00, mehrig, SW_ Err_Screenshot
30346, split_cursor_in_psc.png, 39321, image/x-png, 12/17/2010 19:07:19, bkatz, image of split cursor
30347, labviewer_zero_results.zip, 78118, application/x-zip-compressed, 12/17/2010 19:21:32, bkatz, spreadsheet and screenshot
30350, CCTS_PSC_Test_Result_12.17.10.doc, 138240, application/msword, 12/17/2010 22:39:09, mehrig, 
30351, Link_PSC_to_Labviewer.zip, 99003, application/x-zip-compressed, 12/17/2010 22:39:43, bkatz, screenshots
30354, upgrade.properties, 6413, application/octet-stream, 12/20/2010 15:50:58, bkatz, 
30383, labviewer-access-denied-header-typo.JPG, 65488, image/pjpeg, 12/28/2010 19:40:08, youngs, Lab Viewer landing page with typo in name
30384, labviewer-accessed-as-sys-admin-global-and-multi-org-user-admin.JPG, 81906, image/pjpeg, 12/29/2010 01:01:01, youngs, labviewer-accessed-as-sysadmin-global-and-multi-org-user-admin
30396, CaeERs_ExportXML_l.4.2011.doc, 642048, application/msword, 01/04/2011 18:15:45, mehrig, 
30404, CaEERS_screenShot.doc, 234496, application/msword, 01/06/2011 19:37:15, mehrig, 
30404, C3PR_screenShot.doc, 259584, application/msword, 01/06/2011 19:39:34, mehrig, 
30430, C3PR_Broadcast_screenShot.doc, 545792, application/msword, 01/12/2011 16:31:09, mehrig, 
30432, C3PR_Amend_screenShot.doc, 653824, application/msword, 01/12/2011 17:21:28, mehrig, 
30438, search_animation_running_with_error_msg_on_page.png, 66117, image/x-png, 01/12/2011 18:59:19, bkatz, image file of issue
30442, C3PR_Re-Amend_screenShot_1.13.2011.doc, 2056704, application/msword, 01/13/2011 17:45:00, mehrig, 
30455, cannot_manage_ae.zip, 943403, application/x-zip-compressed, 01/14/2011 21:18:07, bkatz, screenshots and logs
30485, CCTS_Labviewer_1.21.2011.doc, 227328, application/msword, 01/21/2011 18:52:19, mehrig, 
30489, sort_and_filter_does_nothing.png, 67159, image/x-png, 01/24/2011 17:33:29, bkatz, screenshot
30517, etta_search.zip, 239215, application/x-zip-compressed, 01/27/2011 21:26:05, bkatz, package of screenshots and log
30521, error_in_logs.zip, 101466, application/x-zip-compressed, 01/28/2011 18:40:43, bkatz, screenshots and logs
30523, personnel_assignments.zip, 363277, application/x-zip-compressed, 01/28/2011 19:41:51, bkatz, screenshots
30526, smk-2-3M3-caaers-inactivity-prompt.JPG, 35620, image/pjpeg, 01/28/2011 21:14:50, youngs, caAERS inactivity/security prompt
